Address:,USB0::0x0957::0x1798::MY56272288::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2014A,,Time (s),1 (VOLT),3 (VOLT),
,,,-0.000130882,-0.0281407237052917,-0.547738676890731,
,,,-0.000128866,-0.0281407237052917,-0.547738676890731,
,,,-0.00012685,-0.0442211255431175,-0.547738676890731,
,,,-0.000124834,-0.0281407237052917,-0.547738676890731,
,,,-0.000122818,-0.0281407237052917,-0.547738676890731,
,,,-0.000120802,-0.0442211255431175,-0.547738676890731,
,,,-0.000118786,-0.0281407237052917,-0.547738676890731,
,,,-0.00011677,-0.0281407237052917,-0.547738676890731,
,,,-0.000114754,-0.0281407237052917,-0.527638174593449,
,,,-0.000112738,-0.0281407237052917,-0.547738676890731,
,,,-0.000110722,-0.0281407237052917,-0.547738676890731,
,,,-0.000108706,-0.0281407237052917,-0.547738676890731,
,,,-0.00010669,-0.0281407237052917,-0.547738676890731,
,,,-0.000104674,-0.0281407237052917,-0.547738676890731,
,,,-0.000102658,-0.0281407237052917,-0.547738676890731,
,,,-0.000100642,-0.0281407237052917,-0.547738676890731,
,,,-9.86260000000001E-05,-0.0281407237052917,-0.547738676890731,
,,,-9.661E-05,-0.0442211255431175,-0.547738676890731,
,,,-9.4594E-05,-0.0281407237052917,-0.547738676890731,
,,,-9.25780000000001E-05,-0.0442211255431175,-0.547738676890731,
,,,-9.05620000000001E-05,-0.0442211255431175,-0.547738676890731,
,,,-8.8546E-05,-0.0281407237052917,-0.547738676890731,
,,,-8.653E-05,-0.0442211255431175,-0.527638174593449,
,,,-8.45140000000001E-05,-0.0281407237052917,-0.547738676890731,
,,,-8.24980000000001E-05,-0.0442211255431175,-0.547738676890731,
,,,-8.0482E-05,-0.0281407237052917,-0.547738676890731,
,,,-7.8466E-05,-0.0281407237052917,-0.527638174593449,
,,,-7.645E-05,-0.0281407237052917,-0.547738676890731,
,,,-7.44340000000001E-05,-0.0281407237052917,-0.547738676890731,
,,,-7.24180000000001E-05,-0.0281407237052917,-0.547738676890731,
,,,-7.0402E-05,-0.0281407237052917,-0.547738676890731,
,,,-6.8386E-05,-0.0281407237052917,-0.547738676890731,
,,,-6.63700000000001E-05,-0.0281407237052917,-0.547738676890731,
,,,-6.43540000000001E-05,-0.0281407237052917,-0.547738676890731,
,,,-6.2338E-05,-0.0442211255431175,-0.527638174593449,
,,,-6.0322E-05,-0.0281407237052917,-0.567839179188013,
,,,-5.8306E-05,-0.0281407237052917,-0.567839179188013,
,,,-5.62900000000001E-05,-0.0281407237052917,-0.567839179188013,
,,,-5.42740000000001E-05,-0.0281407237052917,-0.547738676890731,
,,,-5.2258E-05,-0.0281407237052917,-0.547738676890731,
,,,-5.0242E-05,-0.0281407237052917,-0.547738676890731,
,,,-4.82260000000001E-05,-0.0281407237052917,-0.547738676890731,
,,,-4.62100000000001E-05,-0.0281407237052917,-0.547738676890731,
,,,-4.4194E-05,-0.0281407237052917,-0.547738676890731,
,,,-4.2178E-05,-0.0281407237052917,-0.547738676890731,
,,,-4.01620000000001E-05,-0.0281407237052917,-0.567839179188013,
,,,-3.81460000000001E-05,-0.0281407237052917,-0.547738676890731,
,,,-3.61300000000001E-05,-0.0281407237052917,-0.547738676890731,
,,,-3.4114E-05,-0.0281407237052917,-0.527638174593449,
,,,-3.2098E-05,-0.0281407237052917,-0.547738676890731,
,,,-3.00820000000001E-05,-0.0281407237052917,-0.547738676890731,
,,,-2.80660000000001E-05,-0.0281407237052917,-0.547738676890731,
,,,-2.605E-05,-0.0281407237052917,-0.547738676890731,
