Address:,USB0::0x0957::0x1798::MY56272288::0::INSTR,,Analog Channels,,,,Function Channels,,
Model:,DSO-X 2014A,,Time (s),2 (VOLT),3 (VOLT),,Time (s),M1,
,,,-0.00048984,0.511277657235041,-0.908365659415722,,-0.00048984,-1.41672141314484,
,,,-0.000489744,0.513790220022202,-0.93851640727371,,-0.000489744,-1.44992453418672,
,,,-0.000489648,0.504996250267141,-0.918415908701718,,-0.000489648,-1.42062766267918,
,,,-0.000489552,0.511277657235041,-0.908365659415722,,-0.000489552,-1.41672141314484,
,,,-0.000489456,0.504996250267141,-0.908365659415722,,-0.000489456,-1.41086203884333,
,,,-0.00048936,0.507508813054301,-0.918415908701718,,-0.00048936,-1.42453391221352,
,,,-0.000489264,0.513790220022202,-0.93851640727371,,-0.000489264,-1.44992453418672,
,,,-0.000489168,0.507508813054301,-0.908365659415722,,-0.000489168,-1.41476828837767,
,,,-0.000489072,0.507508813054301,-0.908365659415722,,-0.000489072,-1.41476828837767,
,,,-0.000488976,0.507508813054301,-0.933491282630712,,-0.000488976,-1.4382057855837,
,,,-0.00048888,0.504996250267141,-0.978717404417694,,-0.00048888,-1.48117453046143,
,,,-0.000488784,0.493689717724919,-0.91339078405872,,-0.000488784,-1.40500266454183,
,,,-0.000488688,0.49745856190566,-0.933491282630712,,-0.000488688,-1.42844016174786,
,,,-0.000488592,0.508765094447881,-0.93851640727371,,-0.000488592,-1.44601828465238,
,,,-0.000488496,0.5012274060864,-0.91339078405872,,-0.000488496,-1.4128151636105,
,,,-0.0004884,0.493689717724919,-0.93851640727371,,-0.0004884,-1.43039328651503,
,,,-0.000488304,0.493689717724919,-0.933491282630712,,-0.000488304,-1.42453391221352,
,,,-0.000488208,0.49745856190566,-0.953591781202704,,-0.000488208,-1.44992453418672,
,,,-0.000488112,0.5012274060864,-0.968667155131698,,-0.000488112,-1.46750265709125,
,,,-0.000488016,0.50248368747998,-0.968667155131698,,-0.000488016,-1.46945578185841,
,,,-0.00048792,0.493689717724919,-0.933491282630712,,-0.00048792,-1.42453391221352,
,,,-0.000487824,0.493689717724919,-0.9636420304887,,-0.000487824,-1.45578390848823,
,,,-0.000487728,0.49997112469282,-0.958616905845702,,-0.000487728,-1.45578390848823,
,,,-0.000487632,0.493689717724919,-0.958616905845702,,-0.000487632,-1.44992453418672,
,,,-0.000487536,0.49997112469282,-0.923441033344716,,-0.000487536,-1.42062766267918,
,,,-0.00048744,0.49620228051208,-0.973692279774696,,-0.00048744,-1.46750265709125,
,,,-0.000487344,0.49997112469282,-0.91339078405872,,-0.000487344,-1.41086203884333,
,,,-0.000487248,0.494945999118499,-0.968667155131698,,-0.000487248,-1.46164328278974,
,,,-0.000487152,0.493689717724919,-0.923441033344716,,-0.000487152,-1.41476828837767,
,,,-0.000487056,0.493689717724919,-0.91339078405872,,-0.000487056,-1.40500266454183,
,,,-0.00048696,0.494945999118499,-0.918415908701718,,-0.00048696,-1.41086203884333,
,,,-0.000486864,0.493689717724919,-0.91339078405872,,-0.000486864,-1.40500266454183,
,,,-0.000486768,0.493689717724919,-0.953591781202704,,-0.000486768,-1.44601828465238,
,,,-0.000486672,0.483639466576278,-0.93851640727371,,-0.000486672,-1.42062766267918,
,,,-0.000486576,0.487408310757019,-0.948566656559706,,-0.000486576,-1.43429953604937,
,,,-0.00048648,0.491177154937759,-0.958616905845702,,-0.00048648,-1.44797140941955,
,,,-0.000486384,0.482383185182698,-0.983742529060692,,-0.000486384,-1.46359640755691,
