Address:,USB0::0x0957::0x1798::MY56272288::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2014A,,Time (s),1 (VOLT),3 (VOLT),
,,,-0.0214736,-0.401005049236119,-0.62814068607986,
,,,-0.0213728,-0.401005049236119,-0.648241188377142,
,,,-0.021272,-0.396984948311001,-0.648241188377142,
,,,-0.0211712,-0.396984948311001,-0.62814068607986,
,,,-0.0210704,-0.388944746460766,-0.648241188377142,
,,,-0.0209696,0.31055281450972,0.517587944865227,
,,,-0.0208688,0.31055281450972,0.618090456351638,
,,,-0.020768,0.31055281450972,0.63819095864892,
,,,-0.0206672,0.31055281450972,0.63819095864892,
,,,-0.0205664,0.31055281450972,0.618090456351638,
,,,-0.0204656,-0.401005049236119,-0.62814068607986,
,,,-0.0203648,-0.396984948311001,-0.62814068607986,
,,,-0.020264,-0.396984948311001,-0.62814068607986,
,,,-0.0201632,-0.392964847385883,-0.648241188377142,
,,,-0.0200624,-0.392964847385883,-0.648241188377142,
,,,-0.0199616,0.31055281450972,0.577889451757073,
,,,-0.0198608,0.31055281450972,0.618090456351638,
,,,-0.01976,0.31055281450972,0.63819095864892,
,,,-0.0196592,0.31055281450972,0.618090456351638,
,,,-0.0195584,0.31055281450972,0.618090456351638,
,,,-0.0194576,-0.405025150161237,-0.62814068607986,
,,,-0.0193568,-0.401005049236119,-0.648241188377142,
,,,-0.019256,-0.396984948311001,-0.62814068607986,
,,,-0.0191552,-0.396984948311001,-0.648241188377142,
,,,-0.0190544,-0.392964847385883,-0.648241188377142,
,,,-0.0189536,0.31055281450972,0.597989954054356,
,,,-0.0188528,0.31055281450972,0.63819095864892,
,,,-0.018752,0.31055281450972,0.618090456351638,
,,,-0.0186512,0.31055281450972,0.618090456351638,
,,,-0.0185504,0.31055281450972,0.618090456351638,
,,,-0.0184496,-0.405025150161237,-0.648241188377142,
,,,-0.0183488,-0.401005049236119,-0.648241188377142,
,,,-0.018248,-0.396984948311001,-0.648241188377142,
,,,-0.0181472,-0.392964847385883,-0.648241188377142,
,,,-0.0180464,-0.392964847385883,-0.648241188377142,
,,,-0.0179456,0.31055281450972,0.618090456351638,
,,,-0.0178448,0.31055281450972,0.618090456351638,
,,,-0.017744,0.31055281450972,0.618090456351638,
,,,-0.0176432,0.31055281450972,0.618090456351638,
,,,-0.0175424,0.31055281450972,0.63819095864892,
,,,-0.0174416,-0.401005049236119,-0.62814068607986,
,,,-0.0173408,-0.401005049236119,-0.648241188377142,
,,,-0.01724,-0.396984948311001,-0.648241188377142,
,,,-0.0171392,-0.392964847385883,-0.62814068607986,
,,,-0.0170384,-0.392964847385883,-0.648241188377142,
,,,-0.0169376,0.31055281450972,0.597989954054356,
,,,-0.0168368,0.31055281450972,0.618090456351638,
,,,-0.016736,0.31055281450972,0.63819095864892,
,,,-0.0166352,0.31055281450972,0.63819095864892,
,,,-0.0165344,0.31055281450972,0.63819095864892,
,,,-0.0164336,-0.401005049236119,-0.62814068607986,
,,,-0.0163328,-0.396984948311001,-0.648241188377142,
,,,-0.016232,-0.396984948311001,-0.648241188377142,
,,,-0.0161312,-0.392964847385883,-0.648241188377142,
,,,-0.0160304,-0.392964847385883,-0.62814068607986,
,,,-0.0159296,0.31055281450972,0.618090456351638,
,,,-0.0158288,0.31055281450972,0.618090456351638,
,,,-0.015728,0.31055281450972,0.63819095864892,
,,,-0.0156272,0.31055281450972,0.63819095864892,
,,,-0.0155264,0.31055281450972,0.63819095864892,
,,,-0.0154256,-0.401005049236119,-0.648241188377142,
,,,-0.0153248,-0.396984948311001,-0.648241188377142,
,,,-0.015224,-0.396984948311001,-0.648241188377142,
,,,-0.0151232,-0.396984948311001,-0.648241188377142,
,,,-0.0150224,-0.392964847385883,-0.62814068607986,
,,,-0.0149216,0.31055281450972,0.618090456351638,
,,,-0.0148208,0.31055281450972,0.63819095864892,
,,,-0.01472,0.31055281450972,0.618090456351638,
,,,-0.0146192,0.31055281450972,0.63819095864892,
,,,-0.0145184,0.31055281450972,0.63819095864892,
,,,-0.0144176,-0.405025150161237,-0.62814068607986,
,,,-0.0143168,-0.396984948311001,-0.62814068607986,
,,,-0.014216,-0.396984948311001,-0.62814068607986,
,,,-0.0141152,-0.392964847385883,-0.648241188377142,
,,,-0.0140144,-0.392964847385883,-0.648241188377142,
,,,-0.0139136,0.31055281450972,0.618090456351638,
,,,-0.0138128,0.31055281450972,0.63819095864892,
,,,-0.013712,0.31055281450972,0.63819095864892,
,,,-0.0136112,0.31055281450972,0.63819095864892,
,,,-0.0135104,0.31055281450972,0.618090456351638,
,,,-0.0134096,-0.401005049236119,-0.62814068607986,
,,,-0.0133088,-0.401005049236119,-0.648241188377142,
,,,-0.013208,-0.396984948311001,-0.648241188377142,
,,,-0.0131072,-0.392964847385883,-0.62814068607986,
,,,-0.0130064,-0.392964847385883,-0.62814068607986,
,,,-0.0129056,0.31055281450972,0.618090456351638,
,,,-0.0128048,0.31055281450972,0.63819095864892,
,,,-0.012704,0.31055281450972,0.63819095864892,
,,,-0.0126032,0.31055281450972,0.618090456351638,
,,,-0.0125024,0.31055281450972,0.63819095864892,
,,,-0.0124016,-0.401005049236119,-0.648241188377142,
,,,-0.0123008,-0.396984948311001,-0.648241188377142,
,,,-0.0122,-0.396984948311001,-0.62814068607986,
,,,-0.0120992,-0.392964847385883,-0.648241188377142,
,,,-0.0119984,0.31055281450972,-0.608040183782578,
,,,-0.0118976,0.31055281450972,0.618090456351638,
,,,-0.0117968,0.31055281450972,0.618090456351638,
,,,-0.011696,0.31055281450972,0.618090456351638,
,,,-0.0115952,0.31055281450972,0.63819095864892,
